,minimal,standard,pro,android,addon3d,addonws,addonsecure,addonmaven,addonmgmt,addongradleplugin,editorbpmn,editorgpmn,relaystandalone,addonjavadoc,everything
jadex-android-antlr,,,,X,,,,,,,,,,,X
jadex-android-bluetooth,,,,X,,,,,,,,,,,X
jadex-android-commons,,,,X,,,,,,,,,,,X
jadex-android-integration-test,,,,,,,,,,,,,,,
jadex-android-maven-plugin,,,,,,,,,,,,,,,
jadex-android-platformapp,,,,,,,,,,,,,,,
jadex-android-platformclient,,,,,,,,,,,,,,,
jadex-android-testlauncher,,,,,,,,,,,,,,,
jadex-android-xmlpull,,,,X,,,,,,,,,,,X
jadex-applib-bdi,,X,X,,,,,,,,,,,X,X
jadex-applications-android-demos,,,,X,,,,,,,,,,,X
jadex-applications-android:jadex-applications-android-chat,,,,X,,,,,,,,,,,X
jadex-applications-android:jadex-applications-android-puzzle,,,,X,,,,,,,,,,,X
jadex-applications-bdi,,X,X,,,,,,,,,,,,X
jadex-applications-bdibpmn,,,,,,,,,,,,,,,
jadex-applications-bdiv3,,X,X,,,,,,,,,,,,X
jadex-applications-bpmn,,X,X,,,,,,,,,,,,X
jadex-applications-gpmn,,,,,,,,,,,,,,,
jadex-applications-java8,,X,X,,,,,,,,,,,,X
jadex-applications-micro,,X,X,,,,,,,,,,,,X
jadex-applications-mixed,,X,X,,,,,,,,,,,,X
jadex-applications-web,,X,X,,,,,,,,,,,,X
jadex-applications-webservice,,,X,,,X,,,,,,,,,X
jadex-applications-wfms,,,,,,,,,,,,,,,X
jadex-bridge,X,X,X,X,,,,,,,,,X,X,X
jadex-commons,X,X,X,X,,,,,,,,,X,X,X
jadex-distribution-android,,,,X,,,,,,,,,,,X
jadex-distribution-minimal,X,X,X,,,,,,,,,,,,X
jadex-distribution-pro,,,X,,,,,,,,,,,,X
jadex-distribution-server,,,X,,,,,,,,,,,,X
jadex-distribution-standard,,X,X,,,,,,,,,,,,X
jadex-editor-bpmn,,X,X,,,,,,,,X,,,,X
jadex-editor-gpmn,,,,,,,,,,,,X,,,X
jadex-gradle-plugin,,,,,,,,,,X,,,,,X
jadex-integration-test,,X,X,,,,,,,,,,,,X
jadex-javaparser,X,X,X,X,,,,,,,,,X,X,X
jadex-json,,X,X,,,,,,,,,,,,X
jadex-kernel-application,,X,X,,,,,,,,,,,,X
jadex-kernel-base,X,X,X,X,,,,,,,,,X,,X
jadex-kernel-bdi,,,,,,,,,,,,,,,
jadex-kernel-bdibpmn,,,,,,,,,,,,,,,
jadex-kernel-bdiv3,,X,X,X,,,,,,,,,,X,X
jadex-kernel-bdiv3-android,,,,X,,,,,,,,,,,X
jadex-kernel-bpmn,,X,X,X,,,,,,,,,,X,X
jadex-kernel-component,,X,X,X,,,,,,,,,,,X
jadex-kernel-extension-agr,,X,X,,,,,,,,,,,X,X
jadex-kernel-extension-envsupport,,X,X,,,,,,,,,,,X,X
jadex-kernel-extension-envsupport-jmonkey,,,,,X,,,,,,,,,,X
jadex-kernel-extension-envsupport-opengl,,X,X,,,,,,,,,,,,X
jadex-kernel-gpmn,,,,,,,,,,,,,,,
jadex-kernel-micro,X,X,X,X,,,,,,,,,X,X,X
jadex-model-bpmn,,X,X,X,,,,,,,,,,,X
jadex-platform,X,X,X,X,,,,,,,,,X,,X
jadex-platform-android,,,,X,,,,,,,,,,,X
jadex-platform-extension-management,,,X,,,,,,X,,,,,,X
jadex-platform-extension-maven,,,X,,,,,X,,,,,,,X
jadex-platform-extension-relay,,,X,,,,,,,,,,X,,X
jadex-platform-extension-relay-standalone,,,X,,,,,,,,,,X,,X
jadex-platform-extension-securetransport,,,X,,,,X,,,,,,,,X
jadex-platform-extension-webservice,,,X,X,,X,,,,,,,,X,X
jadex-platform-extension-webservice-android,,,,X,,,,,,,,,,,X
jadex-platform-extension-webservice-desktop,,,X,,,X,,,,,,,,,X
jadex-platform-extension-webservice-desktop-grizzly,,,X,,,,,,,,,,,,X
jadex-platform-extension-webservice-desktop-jetty,,,X,,,,,,,,,,,,X
jadex-platform-relay-web,,,X,,,,,,,,,,X,,X
jadex-platform-standalone-launch,X,X,X,,,,,,,,,,,,X
jadex-rules,,X,X,X,,,,,,,,,,,X
jadex-rules-applications,,X,X,,,,,,,,,,,,X
jadex-rules-eca,X,X,X,X,,,,,,,,,X,,X
jadex-rules-tools,,X,X,,,,,,,,,,,,X
jadex-runtimetools-android,,,,X,,,,,,,,,,,X
jadex-runtimetools-swing,,X,X,,,,,,,,,,,,X
jadex-servletfilter,,,X,,,,,,,,,,,,X
jadex-servletfilter-web,,,X,,,,,,,,,,,,X
jadex-tools-base,,X,X,X,,,,,,,,,,,X
jadex-tools-base-swing,,X,X,,,,,,,,,,,,X
jadex-tools-bdi,,X,X,,,,,,,,,,,,X
jadex-tools-benchmarks,,X,X,,,,,,,,,,,,X
jadex-tools-bpmn,,X,X,,,,,,,,,,,,X
jadex-tools-comanalyzer,,X,X,,,,,,,,,,,,X
jadex-xml,X,X,X,X,,,,,,,,,X,X,X
