time	deficient_by_break	deficient_by_change	not_deficient
0	0	0	43
1	0	0	43
2	0	0	43
3	0	0	43
4	0	0	43
5	0	0	43
6	0	0	43
7	0	0	43
8	0	0	43
9	0	0	43
10	0	0	43
11	0	0	43
12	0	0	43
13	0	0	43
14	0	0	43
15	0	0	43
16	0	0	43
17	0	0	43
18	0	0	43
19	0	0	43
20	0	0	43
21	0	0	43
22	0	0	43
23	0	0	43
24	0	0	43
25	0	0	43
26	0	0	43
27	0	0	43
28	0	0	43
29	0	0	43
30	0	0	43
31	0	0	43
32	0	0	43
33	0	0	43
34	0	0	43
35	0	0	43
36	0	0	43
37	0	0	43
38	0	0	43
39	0	0	43
40	0	0	43
41	0	0	43
42	0	0	43
43	0	0	43
44	0	0	43
45	0	0	43
46	0	0	43
47	0	0	43
48	0	0	43
49	0	0	43
50	0	0	43
51	0	0	43
52	0	0	43
53	0	0	43
54	0	0	43
55	0	0	43
56	0	0	43
57	0	0	43
58	0	0	43
59	0	0	43
60	0	0	43
61	0	0	43
62	0	0	43
63	0	0	43
64	0	0	43
65	0	0	43
66	0	0	43
67	0	0	43
68	0	0	43
69	0	0	43
70	0	0	43
71	0	0	43
72	0	0	43
73	0	0	43
74	0	0	43
75	0	0	43
76	0	0	43
77	0	0	43
78	0	0	43
79	0	0	43
80	0	0	43
81	0	0	43
82	0	0	43
83	0	0	43
84	0	0	43
85	0	0	43
86	0	0	43
87	0	0	43
88	0	0	43
89	0	0	43
90	0	0	43
91	0	0	43
92	0	0	43
93	0	0	43
94	0	0	43
95	0	0	43
96	0	0	43
97	0	0	43
98	0	0	43
99	0	0	43
100	0	0	43
101	0	0	43
102	0	0	43
103	0	0	43
104	0	0	43
105	0	0	43
106	0	0	43
107	0	0	43
108	0	0	43
109	0	0	43
110	0	0	43
111	0	0	43
112	0	0	43
113	0	0	43
114	0	0	43
115	0	0	43
116	0	0	43
117	0	0	43
118	0	0	43
119	0	0	43
120	0	0	43
121	0	0	43
122	0	0	43
123	0	0	43
124	0	0	43
125	0	0	43
126	0	0	43
127	0	0	43
128	0	0	43
129	0	0	43
130	0	0	43
131	0	0	43
132	0	0	43
133	0	0	43
134	0	0	43
135	0	0	43
136	0	0	43
137	0	0	43
138	0	0	43
139	0	0	43
140	0	0	43
141	0	0	43
142	0	0	43
143	0	0	43
144	0	0	43
145	0	0	43
146	0	0	43
147	0	0	43
148	0	0	43
149	0	0	43
