time	running	running_idle	waiting_for_reconf
0	0	43	0
1	0	43	0
2	0	43	0
3	0	43	0
4	0	43	0
5	0	43	0
6	0	43	0
7	0	43	0
8	0	43	0
9	0	43	0
10	0	43	0
11	0	43	0
12	0	43	0
13	3	40	0
14	3	40	0
15	3	40	0
16	3	40	0
17	3	40	0
18	3	40	0
19	3	40	0
20	3	40	0
21	3	40	0
22	3	40	0
23	3	40	0
24	3	40	0
25	2	41	0
26	1	42	0
27	1	42	0
28	1	42	0
29	2	41	0
30	3	40	0
31	3	40	0
32	3	40	0
33	3	40	0
34	3	40	0
35	2	41	0
36	5	38	0
37	5	38	0
38	5	38	0
39	5	38	0
40	5	38	0
41	5	38	0
42	5	38	0
43	5	38	0
44	6	37	0
45	6	37	0
46	5	38	0
47	5	38	0
48	4	39	0
49	5	38	0
50	4	39	0
51	4	39	0
52	3	40	0
53	3	40	0
54	3	40	0
55	4	39	0
56	4	39	0
57	5	38	0
58	5	38	0
59	7	36	0
60	6	37	0
61	6	37	0
62	6	37	0
63	7	36	0
64	7	36	0
65	7	36	0
66	7	36	0
67	7	36	0
68	6	37	0
69	6	37	0
70	6	37	0
71	6	37	0
72	7	36	0
73	7	36	0
74	8	35	0
75	7	36	0
76	7	36	0
77	7	36	0
78	7	36	0
79	7	36	0
80	7	36	0
81	8	35	0
82	8	35	0
83	9	34	0
84	9	34	0
85	9	34	0
86	8	35	0
87	8	34	1
88	8	34	1
89	8	34	1
90	8	34	1
91	7	35	1
92	7	35	1
93	7	35	1
94	7	35	1
95	7	35	1
96	7	35	1
97	7	35	1
98	8	34	1
99	9	34	0
100	9	34	0
101	9	34	0
102	9	34	0
103	10	33	0
104	10	33	0
105	8	35	0
106	10	33	0
107	10	33	0
108	10	33	0
109	10	33	0
110	10	33	0
111	11	32	0
112	12	31	0
113	12	31	0
114	12	31	0
115	12	31	0
116	10	33	0
117	9	34	0
118	9	34	0
119	11	32	0
120	10	33	0
121	10	33	0
122	10	33	0
123	9	34	0
124	10	33	0
125	10	33	0
126	10	33	0
127	10	33	0
128	11	32	0
129	12	31	0
130	12	31	0
131	12	31	0
132	12	31	0
133	12	31	0
134	12	31	0
135	13	30	0
136	13	30	0
137	13	30	0
138	12	31	0
139	11	32	0
140	9	34	0
141	9	34	0
142	9	34	0
143	9	34	0
144	9	34	0
145	10	33	0
146	10	33	0
147	10	33	0
148	10	33	0
149	9	34	0
150	10	33	0
151	10	33	0
152	11	32	0
153	11	32	0
154	12	31	0
155	13	30	0
156	13	30	0
157	13	30	0
158	13	30	0
159	13	30	0
160	13	30	0
161	12	31	0
162	11	32	0
163	12	31	0
164	12	31	0
165	12	31	0
166	12	31	0
167	10	33	0
168	9	34	0
169	9	34	0
170	10	33	0
171	10	33	0
172	10	33	0
173	10	33	0
174	10	33	0
175	10	33	0
176	10	33	0
177	10	33	0
178	11	32	0
179	11	32	0
180	11	32	0
181	11	32	0
182	11	32	0
183	10	33	0
184	10	33	0
185	10	33	0
186	10	33	0
187	9	34	0
188	9	34	0
189	10	33	0
190	10	33	0
191	11	32	0
192	10	33	0
193	11	32	0
194	11	32	0
195	11	32	0
196	12	31	0
197	11	32	0
198	11	32	0
199	11	32	0
200	11	32	0
201	11	32	0
202	12	31	0
203	13	30	0
204	12	31	0
205	12	31	0
206	12	31	0
207	12	31	0
208	12	31	0
209	13	30	0
210	13	30	0
211	13	30	0
212	12	31	0
213	12	31	0
214	12	31	0
215	12	31	0
216	12	31	0
217	13	30	0
218	12	31	0
219	11	32	0
220	11	32	0
221	13	30	0
222	10	33	0
223	10	33	0
224	10	33	0
225	11	32	0
226	12	31	0
227	12	31	0
228	12	31	0
229	12	31	0
230	13	30	0
231	13	30	0
232	13	30	0
233	13	30	0
234	12	31	0
235	11	32	0
236	11	32	0
237	11	32	0
238	11	32	0
239	11	32	0
240	11	32	0
241	11	32	0
242	11	32	0
243	12	31	0
244	11	32	0
245	11	32	0
246	12	31	0
247	12	31	0
248	11	32	0
249	11	32	0
250	11	32	0
251	11	32	0
252	11	32	0
253	12	31	0
254	12	31	0
255	13	30	0
256	14	29	0
257	14	29	0
258	14	29	0
259	14	29	0
260	14	29	0
261	14	29	0
262	14	29	0
263	13	30	0
264	13	30	0
265	13	30	0
266	13	30	0
267	13	30	0
268	13	30	0
269	13	30	0
270	13	30	0
271	13	30	0
272	13	30	0
273	13	30	0
274	12	31	0
275	12	31	0
276	12	31	0
277	11	32	0
278	11	32	0
279	11	32	0
280	11	32	0
281	12	31	0
282	11	32	0
283	11	32	0
284	10	33	0
285	11	32	0
286	11	32	0
287	11	32	0
288	11	32	0
289	12	31	0
290	12	31	0
291	13	30	0
292	13	30	0
293	14	29	0
294	15	28	0
295	15	28	0
296	16	27	0
297	16	27	0
298	16	27	0
299	16	27	0
300	16	27	0
301	16	27	0
302	16	27	0
303	16	27	0
304	15	28	0
305	15	28	0
306	16	27	0
307	15	28	0
308	14	29	0
309	15	28	0
310	15	28	0
311	14	29	0
312	14	29	0
313	14	29	0
314	14	29	0
315	14	29	0
316	15	28	0
317	15	28	0
318	15	28	0
319	16	27	0
320	16	27	0
321	14	29	0
322	14	29	0
323	15	28	0
324	14	29	0
325	14	29	0
326	14	29	0
327	14	29	0
328	14	29	0
329	15	28	0
330	15	28	0
331	15	28	0
332	16	27	0
333	16	27	0
334	15	28	0
335	15	28	0
336	14	29	0
337	14	29	0
338	14	29	0
339	14	29	0
340	14	29	0
341	13	30	0
342	15	28	0
343	13	30	0
344	13	30	0
345	13	30	0
346	12	31	0
347	12	31	0
348	13	30	0
349	14	29	0
350	13	30	0
351	13	30	0
352	13	30	0
353	12	31	0
354	12	31	0
355	12	31	0
356	12	31	0
357	12	31	0
358	11	32	0
359	12	31	0
360	12	31	0
361	13	30	0
362	13	30	0
363	14	29	0
364	14	29	0
365	14	29	0
366	14	29	0
367	14	29	0
368	15	28	0
369	14	29	0
370	14	29	0
371	13	30	0
372	14	29	0
373	14	29	0
374	14	29	0
375	14	29	0
376	14	29	0
377	13	30	0
378	13	30	0
379	12	31	0
380	12	31	0
381	13	30	0
382	12	31	0
383	12	31	0
384	12	31	0
385	13	30	0
386	12	31	0
387	12	31	0
388	12	31	0
389	12	31	0
390	12	31	0
391	12	31	0
392	12	31	0
393	12	31	0
394	12	31	0
395	12	31	0
396	12	31	0
397	12	31	0
398	13	30	0
399	13	30	0
400	14	29	0
401	13	30	0
402	14	29	0
403	14	29	0
404	14	29	0
405	13	30	0
406	12	31	0
407	11	32	0
408	12	31	0
409	12	31	0
410	13	30	0
411	14	29	0
412	14	29	0
413	14	29	0
414	15	28	0
415	16	27	0
416	16	27	0
417	14	29	0
418	14	29	0
419	16	27	0
420	16	27	0
421	16	27	0
422	16	27	0
423	17	26	0
424	17	26	0
425	19	24	0
426	17	26	0
427	18	25	0
428	19	24	0
429	19	24	0
430	19	24	0
431	17	26	0
432	19	24	0
433	18	25	0
434	18	25	0
435	18	25	0
436	19	24	0
437	19	24	0
438	19	24	0
439	19	24	0
440	20	23	0
441	19	24	0
442	17	26	0
443	16	27	0
444	17	26	0
445	17	26	0
446	17	26	0
447	18	25	0
448	18	25	0
449	18	25	0
450	19	24	0
451	20	23	0
452	20	23	0
453	21	22	0
454	21	22	0
455	21	22	0
456	20	23	0
457	20	23	0
458	20	23	0
459	20	23	0
460	20	23	0
461	20	23	0
462	21	22	0
463	21	22	0
464	20	23	0
465	21	22	0
466	19	24	0
467	19	24	0
468	19	24	0
469	18	25	0
470	18	25	0
471	17	26	0
472	17	26	0
473	17	26	0
474	17	26	0
475	17	26	0
476	17	26	0
477	18	25	0
478	17	26	0
479	16	27	0
480	16	27	0
481	16	27	0
482	15	28	0
483	15	28	0
484	15	28	0
485	16	27	0
486	17	26	0
487	17	26	0
488	17	26	0
489	18	25	0
490	17	26	0
491	17	26	0
492	17	26	0
493	17	26	0
494	17	26	0
495	17	26	0
496	18	25	0
497	18	25	0
498	19	24	0
499	18	25	0
500	18	25	0
501	18	25	0
502	17	26	0
503	17	26	0
504	17	26	0
505	17	26	0
506	16	27	0
507	16	27	0
508	16	27	0
509	16	27	0
510	15	28	0
511	16	27	0
512	16	27	0
513	16	27	0
514	16	27	0
515	16	27	0
516	18	25	0
517	18	25	0
518	19	24	0
519	19	24	0
520	19	24	0
521	19	24	0
522	19	24	0
523	19	24	0
524	19	24	0
525	18	25	0
526	18	25	0
527	18	25	0
528	18	25	0
529	18	25	0
530	18	25	0
531	17	26	0
532	18	25	0
533	18	25	0
534	18	25	0
535	18	25	0
536	18	25	0
537	18	25	0
538	18	25	0
539	18	25	0
540	17	26	0
541	18	25	0
542	18	25	0
543	18	25	0
544	18	25	0
545	19	24	0
546	19	24	0
547	19	24	0
548	19	24	0
549	19	24	0
550	19	24	0
551	20	23	0
552	20	23	0
553	19	24	0
554	19	24	0
555	20	23	0
556	19	24	0
557	20	23	0
558	20	23	0
559	20	23	0
560	21	22	0
561	21	22	0
562	19	24	0
563	19	24	0
564	20	23	0
565	20	23	0
566	21	22	0
567	18	25	0
568	18	25	0
569	17	26	0
570	18	25	0
571	19	24	0
572	20	23	0
573	20	23	0
574	20	23	0
575	19	24	0
576	20	23	0
577	20	23	0
578	20	23	0
579	21	22	0
580	20	23	0
581	18	25	0
582	19	24	0
583	20	23	0
584	20	23	0
585	20	23	0
586	20	23	0
587	20	23	0
588	20	23	0
589	18	25	0
590	18	25	0
591	18	25	0
592	19	24	0
593	18	25	0
594	17	26	0
595	18	25	0
596	18	25	0
597	18	25	0
598	19	24	0
599	19	24	0
600	19	24	0
601	19	24	0
602	19	24	0
603	20	23	0
604	20	23	0
605	20	23	0
606	20	23	0
607	20	23	0
608	20	23	0
609	20	23	0
610	19	24	0
611	18	25	0
612	18	25	0
613	18	25	0
614	18	25	0
615	19	24	0
616	19	24	0
617	18	25	0
618	18	25	0
619	18	25	0
620	18	25	0
621	19	24	0
622	18	25	0
623	17	26	0
624	18	25	0
625	17	26	0
626	17	26	0
627	17	26	0
628	18	25	0
629	18	25	0
630	18	25	0
631	18	25	0
632	18	25	0
633	18	25	0
634	19	24	0
635	20	23	0
636	19	24	0
637	18	25	0
638	18	25	0
639	18	25	0
640	18	25	0
641	17	26	0
642	17	26	0
643	17	26	0
644	17	26	0
645	17	26	0
646	16	27	0
647	17	26	0
648	17	26	0
649	17	26	0
650	17	26	0
651	17	26	0
652	17	26	0
653	16	27	0
654	16	27	0
655	17	26	0
656	17	26	0
657	17	26	0
658	17	26	0
659	17	26	0
660	19	24	0
661	20	23	0
662	21	22	0
663	21	22	0
664	21	22	0
665	21	22	0
666	21	22	0
667	21	22	0
668	20	23	0
669	19	24	0
670	19	24	0
671	19	24	0
672	18	25	0
673	19	24	0
674	19	24	0
675	20	23	0
676	20	23	0
677	20	23	0
678	20	23	0
679	20	23	0
680	20	23	0
681	21	22	0
682	20	23	0
683	20	23	0
684	20	23	0
685	20	23	0
686	21	22	0
687	21	22	0
688	21	22	0
689	23	20	0
690	23	20	0
691	22	21	0
692	22	21	0
693	22	21	0
694	22	21	0
695	22	21	0
696	22	21	0
697	22	21	0
698	22	21	0
699	23	20	0
700	23	20	0
701	24	19	0
702	24	19	0
703	24	19	0
704	24	19	0
705	24	19	0
706	23	20	0
707	22	21	0
708	21	22	0
709	21	22	0
710	21	22	0
711	21	22	0
712	23	20	0
713	23	20	0
714	23	20	0
715	22	21	0
716	22	21	0
717	22	21	0
718	22	21	0
719	20	23	0
720	20	23	0
721	21	22	0
722	21	22	0
723	20	23	0
724	19	24	0
725	20	23	0
726	20	23	0
727	20	23	0
728	21	22	0
729	21	22	0
730	21	22	0
731	21	22	0
732	21	22	0
733	21	22	0
734	21	22	0
735	22	21	0
736	22	21	0
737	22	21	0
738	22	21	0
739	22	21	0
740	22	21	0
741	23	20	0
742	22	21	0
743	22	21	0
744	21	22	0
745	22	21	0
746	22	21	0
747	22	21	0
748	22	21	0
749	22	21	0
750	22	21	0
751	22	21	0
752	22	21	0
753	21	22	0
754	23	20	0
755	24	19	0
756	24	19	0
757	24	19	0
758	23	20	0
759	23	20	0
760	23	20	0
761	24	19	0
762	24	19	0
763	23	20	0
764	24	19	0
765	24	19	0
766	22	21	0
767	22	21	0
768	22	21	0
769	22	21	0
770	22	21	0
771	23	20	0
772	23	20	0
773	22	21	0
774	22	21	0
775	20	23	0
776	19	24	0
777	20	23	0
778	21	22	0
779	21	22	0
780	21	22	0
781	20	23	0
782	20	23	0
783	20	23	0
784	20	23	0
785	21	22	0
786	21	22	0
787	21	22	0
788	20	23	0
789	20	23	0
790	20	23	0
791	21	22	0
792	21	22	0
793	23	20	0
794	22	21	0
795	21	22	0
796	21	22	0
797	21	22	0
798	22	21	0
799	22	21	0
800	22	21	0
801	22	21	0
802	22	21	0
803	22	21	0
804	22	21	0
805	24	19	0
806	23	20	0
807	22	21	0
808	22	21	0
809	22	21	0
810	23	20	0
811	22	21	0
812	23	20	0
813	23	20	0
814	23	20	0
815	24	19	0
816	24	19	0
817	26	17	0
818	28	15	0
819	27	16	0
820	26	17	0
821	26	17	0
822	26	17	0
823	25	18	0
824	26	17	0
825	26	17	0
826	26	17	0
827	26	17	0
828	25	18	0
829	25	18	0
830	24	19	0
831	24	19	0
832	24	19	0
833	24	19	0
834	24	19	0
835	24	19	0
836	24	19	0
837	24	19	0
838	24	19	0
839	24	19	0
840	24	19	0
841	24	19	0
842	22	21	0
843	23	20	0
844	23	20	0
845	23	20	0
846	23	20	0
847	22	21	0
848	22	21	0
849	22	21	0
850	23	20	0
851	24	19	0
852	24	19	0
853	24	19	0
854	24	19	0
855	24	19	0
856	24	19	0
857	23	20	0
858	23	20	0
859	24	19	0
860	24	19	0
861	23	20	0
862	23	20	0
863	22	21	0
864	22	21	0
865	22	21	0
866	22	21	0
867	20	23	0
868	20	23	0
869	20	23	0
870	22	21	0
871	21	22	0
872	21	22	0
873	21	22	0
874	21	22	0
875	21	22	0
876	20	23	0
877	20	23	0
878	20	23	0
879	20	23	0
880	20	23	0
881	20	23	0
882	20	23	0
883	22	21	0
884	22	21	0
885	23	20	0
886	22	21	0
887	21	22	0
888	21	22	0
889	22	21	0
890	22	21	0
891	22	21	0
892	20	23	0
893	19	24	0
894	19	24	0
895	19	24	0
896	21	22	0
897	21	22	0
898	21	22	0
899	20	23	0
900	20	23	0
901	20	23	0
902	20	23	0
903	21	22	0
904	20	23	0
905	20	23	0
906	20	23	0
907	20	23	0
908	20	23	0
909	22	21	0
910	22	21	0
911	22	21	0
912	22	21	0
913	22	21	0
914	22	21	0
915	21	22	0
916	21	22	0
917	21	22	0
918	21	22	0
919	21	22	0
920	21	22	0
921	20	23	0
922	23	20	0
923	23	20	0
924	24	19	0
925	24	19	0
926	24	19	0
927	24	19	0
928	25	18	0
929	24	19	0
930	25	18	0
931	24	19	0
932	24	19	0
933	24	19	0
934	24	19	0
935	25	18	0
936	23	20	0
937	23	20	0
938	23	20	0
939	23	20	0
940	22	21	0
941	22	21	0
942	23	20	0
943	23	20	0
944	20	23	0
945	20	23	0
946	21	22	0
947	21	22	0
948	24	19	0
949	24	19	0
950	24	19	0
951	24	19	0
952	24	19	0
953	24	19	0
954	25	18	0
955	26	17	0
956	25	18	0
957	25	18	0
958	25	18	0
959	24	19	0
960	24	19	0
961	27	16	0
962	27	16	0
963	27	16	0
964	27	16	0
965	27	16	0
966	26	17	0
967	26	17	0
968	27	16	0
969	28	15	0
970	28	15	0
971	28	15	0
972	27	16	0
973	27	16	0
